epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,920.801,1.08445,1.68189,1.21342,0.55039,0.45102,0.46181,0.3111,1.24089,1.73409,1.2545,0.00999638,0.00333213,0.00999638,0.00333213,0.00999638,0.00333213,0.00999638,0.00333213
2,1629.74,1.26294,1.98853,1.34491,0.50711,0.37477,0.38204,0.24468,1.38266,2.03043,1.41005,0.0197984,0.00659947,0.0197984,0.00659947,0.0197984,0.00659947,0.0197984,0.00659947
3,2277.68,1.38009,2.31335,1.45442,0.46803,0.33165,0.32208,0.20442,1.46382,2.18403,1.48322,0.0294024,0.00980082,0.0294024,0.00980082,0.0294024,0.00980082,0.0294024,0.00980082
4,2904.25,1.39178,2.34342,1.46917,0.52376,0.37556,0.40083,0.26095,1.34434,1.93067,1.38229,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3530.42,1.31585,2.12452,1.41248,0.54679,0.45372,0.46393,0.31477,1.28271,1.74411,1.33664,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4155.6,1.28005,2.01113,1.38298,0.62017,0.44707,0.48983,0.33892,1.22566,1.66668,1.28053,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4784.91,1.23625,1.91305,1.34917,0.55504,0.48039,0.51415,0.36092,1.19154,1.58526,1.26005,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5413.32,1.21865,1.84568,1.33107,0.6286,0.47907,0.5341,0.37712,1.16755,1.53294,1.23291,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6040.3,1.20041,1.8028,1.32162,0.64968,0.48999,0.54665,0.38556,1.15501,1.48784,1.2266,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6671.79,1.18585,1.77046,1.30862,0.66013,0.51295,0.56845,0.40256,1.1381,1.44565,1.21576,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
